ngram,polarity
جذبتني كثيرا,1
جمال,1
جميل,1
جميل الكتاب,1
جميل جدا,1
جميل لكن,-1
جميل و,1
جميلا,1
جميلة,1
جميلة جدا,1
جميلة هذه,1
جميلة ولكن,1
جميله,1
جمييل,1
جمييلة,1
جميييلة,1
جنس,-1
جنسية,-1
جو كئيب,-1
جيد الكتاب,1
جيد جدا,1
جيدة جدا,1
جيده,1
جييد,1
جييد لانه,1
حاجات كتير,1
حاجة حلوة,1
حاجة غلط,-1
حببت الرواية,1
حببته,1
حببتها,1
حبيبى !,1
حبيت,1
حبيته,1
حبيتها,1
حبييت,1
حشو,-1
حقير,-1
حلو,1
حلوه,1
حلوو,1
حلى,1
حياتى كسمين,-1
حين,1
خاب,-1
خرا,-1
خرا,-1
خرة زى,-1
خرى !,-1
خسارة,-1
خساره الوقت,-1
خفيف لطيف,1
خفيف و,1
خفيف ولطيف,1
خفيف ومش,1
خفيفة,1
خفيفة وابهرتنى,1
خلصت ?,-1
خلصتها للأخر,1
خلطبيطة,-1
خيالي !,1
خيب,-1
خيبة,-1
خيبة أمل,-1
خيبت,-1
دائما,1
دةرااائع,1
دراية قوية,1
دمااغ,1
دمه خفيف,1
دمها خفيف,1
ده خضني,-1
دوشة فكرية,-1
ذهلة,1
رائئئع,1
رائع,1
رائعة,1
رائعه,1
رائغة,1
راائع,1
راائعة,1
راائعه,1
رااائع,1
رااائعه,1
راايق,1
راغى,-1
راقت لي,1
راقية,1
رحمة الله,1
رخمااه,-1
رخيصة,-1
رديئة,-1
ررائع,1
رغم روعتهاا,1
رغي,-1
رفيق النوم,1
رقيق,1
رقيقة,1
ركيك,-1
ركيكة,-1
رهيب,1
رهيبة,1
رهيبه,1
رواية,1
رواية تستحق,1
رواية جميلة,1
رواية جيدة,1
رواية خايبة,-1
رواية رائعة,1
رواية كئيبة,-1
رواية محبطة,-1
رواية مشوقة,1
رواية ممتعة,1
رواية مملة,-1
روايةرائعة,1
روعة,1
روعتها,1
روعتهاا,1
روعه,1
روعه,1
رووعة,1
روووعه,1
زبالة,-1
زباله,-1
زفت,-1
زهقت,-1
زيادة عن اللزوم,-1
سئ,-1
سابق لعصره,1
ساحرة,1
ساخرة ومميزة,1
ساذج,-1
ساذجة,-1
ستمتعت,1
سخف,-1
سخيف,-1
سخيفة,-1
سخييف,-1
سد نفسي,-1
سطحي,-1
سطحية,-1
سطحيه,-1
سعيدة,1
سف,-1
سفسطة,-1
سلبية,-1
سلة المهملات,-1
سلوبه قوى,1
سمعت,-1
سهل,1
سهلة,1
سوء,-1
سوء,-1
سوداء اللهم,-1
سوداوية,-1
سورى,-1
سىء,-1
سيء,-1
سيئ,-1
سيئا,-1
سيئة,-1
سيئه,-1
سيرة حلوة,1
سييئة,-1
سييئة للغاية,-1
شاعر الصعاليك,-1
شغااال,1
شكر,1
شكرا,1
شكلها باظت,-1
شيء جمل,1
شيق,1
شيقة,1
صادقة,1
صجه اكبر,-1
صدقت,1
صدمت,-1
صدمتي,-1
صفر,-1
صيت اكثر,-1
ضايقتني,-1
ضجة,-1
ضجه,-1
ضحك,1
ضحية,-1
ضعف,-1
ضعيف,-1
ضعيفة,-1
ضيع,-1
ضيعت وقتي,-1
طفشتني,-1
طلاسم,-1
طلاسم .,-1
طويلة جدا,-1
ظريف معقول,1
عاادي,-1
عاجبنى,1
عادي,-1
عادي جدا,-1
عادية,-1
عادية جدا,-1
عاديه,-1
عاديه جدا,-1
عالميه,1
عبقرى,1
عبقري,1
عبقرية,1
عبقريه,1
عبيط,-1
عجبتني,1
عجبتني جدا,1
عجبنى اوى,1
عجبني,1
عجبني الكتاب,1
عجبني جدا,1
عجبني كثيرا,1
عجبى,1
عجبي,1
عشق,1
عشقت,1
عشقتها,1
عظيم,1
عظيمة,1
عظيمم,1
عمارة مر,-1
عميق,1
عميقة,1
عمييق,1
عودة,1
عودة الغائب,1
غبي,-1
غلطان انى,-1
غلطة,-1
غلطة عمري,-1
غني,1
غير حياتى,1
غير عادية,1
غير مترابطة,-1
غير متوقعة,1
غير متوقعه,1
غير مفيد,-1
غير مقنع,-1
غير مملة,1
غير منطقية,-1
غير موفقة,-1
فادني,1
فاشل,-1
فاشلة,-1
فاضى,-1
فاكس,-1
فتنة سوداء,-1
فج,-1
فريدة,1
فريده,1
فشل,-1
فضل كتاب,1
فعلا ندماان,-1
فقيع,-1
فكرته حلوة,1
فنان,1
في البؤس,-1
في السذاجة,-1
فيه تكرار,-1
فيها فكرة,1
قاسى جداا,-1
قاسية,1
قتلت القصة,-1
قد لاتستحق,-1
قدراتى العقليه,-1
قرارية,-1
قصة جميلة,1
قصص اعجبتني,1
قصص خفيفة,1
قلبي,1
قلشت منك,-1
قليل المعلومات,-1
قمة,1
قيم,1
قيم,1
قيمة,-1
كئيب,-1
كئيب جدا,-1
كئيبة,-1
كئيبة جدا,-1
كئيبة وسلبية,-1
كئيبه,-1
كاتب,-1
كامل 10/10,1
كان جميلا,1
كان يجدر,-1
كانت محتاجة,-1
كبيرة بمحتواها,1
كتااب,1
كتاب باائس,-1
كتاب بضين,-1
كتاب جيد,1
كتاب جييد,1
كتاب حلو,1
كتاب خرة,-1
كتاب رائع,1
كتاب فقيع,-1
كتاب قيم,1
كتاب متطرف,-1
كتاب ممتع,1
كتاب ممل,-1
كتاب يستحق,1
كتابي,1
كتير جدا,-1
كره,-1
كرهت,-1
كرهتها,-1
كسمين سابق,-1
كلمات جميلة,1
كويس,1
كويسة,1
لأسف,-1
لا أحب,-1
لا أحبه,-1
لا أكثر,-1
لا انصح,-1
لا انكر,-1
لا ترقى,-1
لا تستحق,-1
لا تليق,-1
لا جديد,-1
لا داعي,-1
لا شئ,-1
لا فهم,-1
لا نصح,-1
لا يستحق,-1
لا يمل,1
لا يوصف,1
لاتستحق,-1
لاتستحق عناء,-1
لاجديد,-1
لبست عميقة,-1
لجمالية لغتها,1
لدرجة الصعوبة,-1
لذيذ,1
لطالما,1
لطيف,1
لطيف جدا,1
لطيفة,1
لغة شعرية,1
لغة قمة,1
لكنه مقبول,1
لكنها كئيبة,-1
للابداع,1
للاسف,-1
للامال,-1
للحب,1
للقبح,-1
للمبتدئين,-1
للمراهقين,-1
لم أكملها,-1
لم احب,-1
لم ارتاح,-1
لم استطع اكمالها,-1
لم استمتع,-1
لم استمتع,-1
لم افهم,-1
لم ترق,-1
لم تعجبنى,-1
لم تعجبني,-1
لم حبها,-1
لم نفترق,1
لم يجذبني,-1
لم يرق,-1
لم يعجبنى,-1
لم يعجبني,-1
ليس اكثر,-1
ليست بالروعة,-1
ليست بقدر,-1
مؤثر,1
مؤثرة,1
ما استمتعتش,-1
ما انصح,-1
ما تتوصفش,1
ما حبيتها,-1
ما عجبتني,-1
ما عجبني,-1
ما كلمتهاش,-1
ماتحمست,-1
ماتحمست معها,-1
ماحب,-1
ماحبيت,-1
ماحبيته,-1
ماحبيتها,-1
ماحبيتها وكفى,-1
ماساه,-1
ماعجبتنيش,-1
ماعجبني,-1
ماعجبنيش,-1
ماكان ممتع,-1
مايفوق,-1
مبالغة,-1
مبتدئين,-1
مبتذل,-1
مبتذلة,-1
مبحبش,-1
مبدع,1
مبدعة,1
مبسط,1
مبهر,1
متدني,-1
متع,1
متعبة,-1
متعبة جدا,-1
متعة,1
متكررة,-1
متواضعة,-1
متوسطة,-1
متوقعة واعتيادية,-1
مثيرة,1
محبتش,-1
محبتهاش,-1
محبتهوش,-1
محبتوش,-1
محبط,-1
محتوى,-1
محشو,-1
محفز,1
مختصره جدا,-1
مختلفة,1
مخيب,-1
مدهشة,1
مذهل,1
مذهلة,1
مذهلة لكن,1
مذهله,1
مرجعية جيدة,1
مزودها شوية,-1
مستظرف,-1
مستظرف عالاخر,-1
مستفدتش,-1
مستفز,-1
مستفزة,-1
مستمتعتش,-1
مستهلكة,-1
مسخرة,1
مسلي ),1
مش اوي,-1
مش باقتنع,-1
مش راغى,1
مش لمة,1
مشوق,1
مضيعة,-1
مع احترامي,-1
معاني,1
معجبتنيش,-1
معجبتنيش ),-1
معجبنيش,-1
معجتنيش,-1
مغالطات,-1
مغرقة,-1
مغرقه بالتشاؤم,-1
مفيد,1
مفيد جدا,1
مفيدة,1
مقتنعتش !,-1
مقدرتش,-1
مقرفة,-1
مقرفه جدا,-1
مقزز,-1
مقززة,-1
مقلب,-1
مكرر,-1
مكررة,-1
مكرره,-1
مكملتوش,-1
ملحمة,1
ملل,-1
مللت,-1
ملهم,1
ملهمة,1
ملهمه,1
ملىء بالشجن,1
مليئ بنظريات,-1
مليت,-1
ممتاز,1
ممتازة,1
ممتع,1
ممتع جدا,1
ممتع ورشيق,1
ممتع يشكر,1
ممتعا,1
ممتعة,1
ممتعه,1
ممطوطة الاحداث,-1
ممل,-1
ممل جدا,-1
مملة,-1
مملة جدا,-1
مملل,-1
ممله,-1
مميز,1
مميزة,1
مميزه,1
من أروع,1
من االازم,-1
من اجمل,1
من اجمل,1
من اسوا,-1
من افضل,1
من الاخر,1
من الفوائد,1
من رائع,1
من روائع,1
من سوء,-1
من غبى,-1
من نجمة,-1
منطقية,-1
منقول,-1
مهم,1
مهمة,1
موسوعة,1
ميستحق,-1
مينفعش متتقريش,1
نايس,1
نبؤة,1
نجمة واحدة,-1
نجمتان,-1
نجمتين,-1
نجمه,-1
نجوم للقبح,-1
ندم,-1
ندم الواقعي,1
ندماان,-1
ندماان اني,-1
ندمان,-1
ندمان عليها,-1
ندمت,-1
نسيان محتويات,-1
نمطية جدا,-1
نهاية صادمة,-1
نهايه رخمااه,-1
هاايل,1
هايلة,1
هذا فراق,-1
هذي والله,-1
هذيان,-1
هراء,-1
و حزينة,-1
و خرى,-1
و دوشة,-1
و مش,1
و ممطوطة,-1
و ندمان,-1
و هيصة,-1
و وميستاهل,-1
و ياليتني,-1
وابهرتنى قصة,1
واحداثها جذبتني,1
واخر,-1
واعتيادية !,-1
واقعي,1
واقعية,1
والمبالغة,-1
والمبالغة الكثير,-1
وبه فائدة,1
وتستحق,1
وتعبلي,-1
وتعبلي اعصابي,-1
وجعلك تصدقها,-1
وجميل,1
وحشة,-1
وحششة,-1
وحشه اوي,-1
وخفيف,1
ودي,-1
ورائع,1
ورائعة,1
وزهقت,-1
وسلبية جدا,-1
وضجة,-1
وفارغة .,-1
وقتك,-1
وقتك الكثير,-1
وقح,-1
وكم بشعة,-1
ولا أنصح,-1
ولا احلى,1
ولا يستحق,-1
ولاهدف,-1
ولاهدف من,-1
ولذيذ,1
ومش ملل,1
ومشكلة التكرار,-1
وممتع,1
وممتعة,1
وممتعه,1
وممل,-1
ومملة,-1
وميستاهل,-1
وميستاهلش,-1
ونهايتها كئيبة,-1
ويستحق,1
يا خسارة,-1
يارتنى ماكنت,-1
يتكلم نسكت,1
يجنن,1
يحبس الانفاس,1
يحدث,1
يحمل,-1
يخخ,-1
يرقى,1
يستاهل,1
يستحق,1
يستحق القراءة,1
يستحق القراءه,1
يضر,-1
يعجبه,-1
يفتقد,-1
يفتقر,-1
يقنعني بموهبة,-1
ينجح,1
