ngram,polarity
ومريحه,1
ومكانهم هاادئ,1
وممتاز,1
ومناسب,1
ونظافة,1
ونظيف,1
ويتميز,1
ويستاهل,1
ويستحق,1
ياسلام,1
يتفرد,1
يتفوق,1
يتميز,1
يجنن,1
يحب,1
يحبون,1
يحبونه,1
يختلف,1
يستاهل,1
يستحق,1
يستحق التجربه,1
يسلام,1
يشبع,1
يشبع,1
يشبعك,1
يعجبني,1
يعشقهم,1
يفتح,1
يفضل,1
يفضلون,1
يفوق,1
يمتاز,1
يمدحون,1
يمدحونه,1
يمممم,1
يمميممي,1
يميز,1
يهبل,1
يهبل مثل,1
يهتم,1
:(,-1
1 من 10 ,-1
1 من 5,-1
1/10,-1
10/1,-1
10/2,-1
2 من 10 ,-1
2 من 5,-1
2/10,-1
3 من 10,-1
3 من 10,-1
3 من 5,-1
3/10,-1
4 من 10,-1
4/10,-1
700ريال,-1
bad,-1
أسوء,-1
أسوأ,-1
أسوا,-1
أسواء,-1
إنحدار,-1
احتيال,-1
اخر مره,-1
اخس,-1
ارجع,-1
ازعاج,-1
استفرغ,-1
استهبال,-1
اسوء,-1
اسوأ,-1
اسوا,-1
اسواء,-1
اشتكيت,-1
اعطيه 3من5,-1
اغبى,-1
افشل,-1
اففف,-1
اقل من المتوسط,-1
اقل من عادي,-1
اكره البيتزا,-1
اكل عادي,-1
اكله عادي,-1
اكلهم وسسط,-1
الأسوأ,-1
الاسف,-1
الاطلاق 😝,-1
الاكل اقل,-1
الاكل البارد,-1
الاكل عادي,-1
الانحدار,-1
البارد وخصوصا,-1
البلدية,-1
البلديه,-1
التدخين,-1
التسمم,-1
الجنون,-1
الخايس,-1
الخدمه سيئه,-1
الدجاج مايستوي,-1
الدخان,-1
الذباب,-1
السعر الزائد,-1
السعر غاالي,-1
السيء,-1
السيئ,-1
الصراصير,-1
الضجة,-1
الطمع,-1
العفن,-1
العليا,-1
الفشل,-1
الفواكه مرره,-1
الكورنيش,-1
المبالغ,-1
المرض,-1
المشاوي لذيذه,-1
المطعم المقلب,-1
المغص,-1
المقلب,-1
المكان سىء,-1
النظافة,-1
انتهى,-1
انحدار,-1
انصدمت,-1
او بادر,-1
ايامه,-1
بادر,-1
بارد,-1
باردة,-1
بارده,-1
بالانحدار,-1
بالتدني,-1
بالدهون,-1
بايت,-1
بايخ,-1
بدون,-1
بدون طعم,-1
بصعوبه,-1
بصعوبه تبلعه,-1
بطني,-1
بطيئة,-1
بطيئه,-1
بقلة,-1
بلاستيك,-1
بمبلغ,-1
بمشي,-1
بمغص,-1
تأخير,-1
تاخر,-1
تجربة,-1
تجربه مريره,-1
تخرب,-1
تدهور,-1
تراجع,-1
تسمم,-1
تسممت,-1
تسممنا,-1
تسممنا منه,-1
تسممو,-1
تسمموا,-1
تعبان,-1
تعيس,-1
تغير,-1
تقليد,-1
تكرم,-1
تكرم النعمه,-1
ثلاثه,-1
جافه,-1
جاني,-1
جدا عادي,-1
جلساته,-1
حرام,-1
حسبي الله,-1
حشره,-1
خايس,-1
خايسة,-1
خايسه,-1
خخخخ,-1
خرب,-1
خريص,-1
خسارة,-1
خساره,-1
دسم,-1
دسمه,-1
دسمه جدا,-1
دم,-1
دون المستوي,-1
رديء,-1
رديئة,-1
رديئه,-1
زحمة,-1
زحمه والاكل,-1
زفت,-1
زفر,-1
زيوت,-1
سئ,-1
سئ جدا,-1
سئيه,-1
سالب,-1
سوء,-1
سىء,-1
سىء للغاايه,-1
سيء,-1
سيء جدا,-1
سيءء,-1
سيءء جداا,-1
سيئ,-1
سيئة,-1
سيئه,-1
سيى,-1
سيي,-1
سييء,-1
سييئ,-1
سييييء,-1
شحم,-1
شعره,-1
شين,-1
شينه,-1
صرصور,-1
صفر,-1
ضعيف,-1
ضيق,-1
ضيقه,-1
طعم,-1
عااادي,-1
عاادي,-1
عاتي,-1
عادي,-1
عادي جدا,-1
عادي ولا,-1
عادي ومو,-1
عادية,-1
عاديه,-1
عالاقل 700ريال,-1
عالفاضي,-1
عدم,-1
على,-1
عن,-1
عيب,-1
عيبهم,-1
غاالي,-1
غالي,-1
غاليه,-1
غاليه جدا,-1
غبى,-1
غبي,-1
غلطة,-1
غويلي,-1
غير مريحه,-1
فاحش,-1
فاسده,-1
فاشل,-1
فاشلة,-1
فاشله,-1
فشل,-1
قاسي,-1
قاسية,-1
قذر,-1
قررف,-1
قرف,-1
قلة,-1
كان احسن,-1
كرهت,-1
لا انصح,-1
لا يستحق,-1
لااستسيغ,-1
لااستسيغ الاكل,-1
لاانصح,-1
لاطعم,-1
لايستحق,-1
لايعجبني,-1
لعنة,-1
للأسف,-1
للاسف,-1
لم,-1
لم يعجبني,-1
لونه,-1
ليس فيه شيء,-1
مأعجبني,-1
ما,-1
ما انصح,-1
ما يستاهل,-1
ماأعجبني,-1
مااعجبني,-1
ماانصح,-1
ماتستاهل,-1
ماتنظف,-1
ماحبيته,-1
ماعجبني,-1
ماعنده,-1
مافيه,-1
ماله طعم,-1
مايستاهل,-1
مايستحق,-1
مايستوي,-1
مايشجع,-1
مايعجبني,-1
مايعجبني والنوعيه,-1
مب مستوي,-1
مبالغ,-1
مبالغ فيها,-1
مبزرة,-1
متدني,-1
متدنية,-1
متدنيه,-1
متواضع,-1
متوسط,-1
متوسطة,-1
مثل,-1
محروقة,-1
مخيب,-1
مخيس,-1
مر,-1
مرتفعه,-1
مررره عادي,-1
مره,-1
مريرة,-1
مريره,-1
مزعجة,-1
مزعجه,-1
مش,-1
مش لذيذ,-1
مشبع,-1
مشكلته الزحمه,-1
مشكلته نيء,-1
مضروب,-1
مطرود,-1
مطعم عادي,-1
معاد,-1
معدومة,-1
معدومه,-1
معطم عاادي,-1
معفن,-1
مغص,-1
مفروض,-1
مقرف,-1
مقرفه,-1
مقزز,-1
مقلب,-1
ملئ بالزيوت,-1
ملل,-1
مليانة,-1
مليت,-1
ممل,-1
منتهيه,-1
منه وبطلناه,-1
مهو مرتب,-1
مو زين,-1
موحلو,-1
ناشف,-1
ناشفه,-1
ندمت,-1
نص ساعه,-1
نصب,-1
نيء,-1
واخر,-1
واسعاره,-1
واسعاره غاليه,-1
واسعارهم,-1
وبطيئة,-1
وتأخر,-1
وتأخير,-1
وتاخر,-1
وجع,-1
وجعلنا,-1
وجعلي,-1
وجلساته ضيقه,-1
وحده,-1
وخس,-1
وسئ,-1
وسخ,-1
وسيئه,-1
وصار مايعجبني,-1
وصخ,-1
وعادي,-1
وعع,-1
وعععع,-1
وعفى,-1
وغالي,-1
وغالين,-1
وفاشل,-1
وكرهته,-1
ولا طعم,-1
ولكن يعيبه,-1
وللأسف,-1
وماحبيته,-1
ومافيه,-1
ونصب,-1
يخرب,-1
يع,-1
يعني عاتي,-1
يعيب,-1
يعيبه,-1
يعيبهم,-1
يفتقد,-1
يفتقر,-1
يقرفهم,-1
يقطر,-1
يقفل,-1
