ngram,polarity
اقل,-1
اقل من المتوسط,-1
اقل من عادي,-1
اقوى,1
اقوى من,1
اكثر اثارة,1
اكثر من اللزوم,-1
اكره البيتزا,-1
اكل عادي,-1
اكله,1
اكله عادي,-1
اكلهم وسسط,-1
أكيد هرجعلها,1
الاباحية,-1
الابتذال,-1
الابداع,1
الاخطاء التاريخية,-1
الاروع على,1
الازرار بتعلق,-1
الاستمتاع,1
الاسعار,1
الاسعار رخيصه,1
الاسف,-1
الأسوأ,-1
الاشادة,1
الاطلاق 😝,-1
الأفضل,1
الافضل,1
الاكل,1
الاكل,-1
الاكل اقل,-1
الاكل البارد,-1
الاكل عادي,-1
الاكل ممتاز,1
الاكل يهبل,1
الانحدار,-1
الاهتمام,1
الاولى,1
البارد وخصوصا,-1
البلدية,-1
البلديه,-1
التدخين,-1
التسمم,-1
التطويل,-1
التعامل,1
التفاهه,-1
التقييم,-1
التكرار,-1
التكرار تتجلى,-1
التمادي,-1
التمجيد والمبالغة,-1
التمطيط واخيرا,-1
التنوع,1
الجديده تعجبني,1
الجذاب,1
الجمال,1
الجميع,1
الجميل,1
الجميلة,1
الجنس,-1
الجنسية,-1
الجنون,-1
الجوده رديه,-1
الجيد,1
الحال,1
الحب,1
الحسنة الوحيدة ,-1
الحشرات,-1
الحشو,-1
الحلوه,1
الخااصه رائع,1
الخامة سيئة,-1
الخايس,-1
الخدمه سيئه,-1
الخدوش,-1
الخرافي,1
الخرطوم اتقطع,-1
الخيال,1
الدجاج مايستوي,-1
الدخان,-1
الدهشة,1
ألذ,1
الذ,1
الذباب,-1
الذي اضعته,-1
الراحة,1
الرائحة,-1
الرائع,1
الرائعة,1
الرائعه,1
الرداءه,1
الركاكة,-1
الرواية الاجمل,1
الرواية الامثل,1
الرواية بكتني,1
الرواية رائعة,1
الروايه جميله,1
الروعة,1
الروعه,1
الريحة ماتجلس,-1
الساعة,-1
السخيفة,-1
السطحية,-1
السعر الزائد,-1
السعر غاالي,-1
السعر مبالغ,-1
السعر ناار,-1
السلعة سيئة,-1
السوء,-1
السيء,-1
السياسية المختلطة,-1
السيئ,-1
السيئة,-1
الشاطئ,1
الشكر,1
الشوق,1
الصداع,-1
الصراصير,-1
الصيانة,-1
الضايع .,-1
الضجة,-1
الضجه,-1
الضعيف,-1
الطازجة,1
الطبيعية,1
الطمع,-1
الطواويس بتطير,-1
العبث,-1
العبقري,1
العبقرية,1
العبوه كبيره,1
العفن,-1
العليا,-1
العيب,-1
الغطاء,-1
الغلطات المنطقية,-1
الف,1
الفارغون,-1
الفاظ,-1
الفشل,-1
الفكرة لاتموت,1
الفكره جميله,1
الفلسفة,1
الفندق وعجبني,1
الفواكه مرره,-1
القراءة بجدارة,1
القرف,-1
الكابة,-1
", الكاتب",-1
الكتاب اضاف,1
الكتاب جميل,1
الكتاب حالة,1
الكتاب حلو,1
الكتاب دةرااائع,1
الكتاب رائع,1
الكتاب ظريفة,1
الكراهية !,-1
الكورنيش,-1
الكون,1
اللذيذ,1
اللذيذه,1
الله عليه,1
المبالغ,-1
المبالغات,-1
المبدع,1
المتعة,1
المتعفن .,-1
المتواضع,-1
المثالية,-1
المختلطة بخرافات,-1
المدح,1
المذهله,1
المر,-1
المراهقين,-1
المرض,-1
المشاوي لذيذه,-1
المشكله,1
المطعم المقلب,-1
المطعم المكشوف,1
المطعم كويس,1
المغادرة,-1
المغص,-1
المفضل,1
المفضلة,1
المقاس مختلف,-1
المقلب,-1
المكان سىء,-1
المكررة,-1
الملل,-1
الممتاز,1
الممتازة,1
الممتنع,1
الممل,-1
المميزة,1
المميزه,1
المنتج اصلي,1
المنتج غالى,-1
المنتج ليس,-1
المنتج مضروب,-1
المواصفات كما في ,1
المؤلف مستظرف,-1
المياه ضعيفه,-1
النجاح,1
النجمة الخامسة,1
النجمتان,-1
النجمتين,-1
النظافة,-1
الهابطة,-1
الهدوء,1
الهراء,-1
الوردي,-1
الوزن الخفيف,1
الوعظية بالطريقة,-1
الوقت الضايع,-1
امتع,1
امدح,1
امري لله,-1
انا غلطان,-1
انا ماحب,-1
انبسط,1
انبسطت,1
انتهى,-1
إنحدار,-1
انحدار,-1
أنصح,1
انصح,1
انصح بشراء,1
انصح به,1
انصح بها,1
انصحكم,1
انصدمت,-1
انظف,1
انقصت,1
انكسر,-1
أنها أفضل,1
انيق,1
او بادر,-1
اوحش كتاب,-1
اوفر,-1
اوووي وتعبلي,-1
ايامه,-1
ايجابي,1
اي جديد,-1
اي حاجة,-1
اي شيء جديد,-1
اي كلام,-1
باااهظة,-1
باااهظة الثمن,-1
باائس,-1
باائس بشكل,-1
بادر,-1
بارد,-1
باردة,-1
بارده,-1
باظ,-1
بالانحدار,-1
بالتدني,-1
بالجوده,1
بالدهون,-1
بالروعة,1
بالروعه,1
بالشكر,1
بالغ الكثير,-1
بالغلط و,-1
بالكاد,-1
بالملل,-1
بامكانيات متوسطة,-1
باهت,-1
باهظ,-1
بائسة,-1
بايت,-1
بايخ,-1
بتعلق,-1
بتلزق,-1
بتوجع,1
بحب,1
بحبه,1
بخرافات البروفسور,-1
بخيبة,-1
بداية موفقة,1
بدقة,1
بدون,1
بدون,-1
بدون طعم,-1
بدون محتوى,-1
بدون ملحقات,-1
بديع,1
بديعه !,1
براعة,1
برافو,1
برجر,1
برداءه,-1
بساطة,1
بسيطة,1
بسيطه ومفيده,1
بسيط و,1
بشع,-1
بشعة,-1
بشعة هي,-1
بصعوبه,-1
بصعوبه تبلعه,-1
بضين,-1
بطني,-1
بطئ,-1
بطيء يتعلق,-1
بطيخ,-1
بطيئة,-1
بطيئه,-1
بعثرتني,-1
بعد شرائه,-1
بعدم,-1
بعشق,1
بعضها لذيذه,1
بعيد,-1
بقلة,-1
بكاني,1
بكتني .,1
بلاستيك,-1
بلا معنى,-1
بمبلغ,-1
بمراحل,-1
بمشي,-1
بمغص,-1
بملل,-1
بنجمتين,-1
بنصح,1
بهجة,1
بوظت,-1
بيبي .,-1
بيشبع,1
بييض,-1
تاخر,-1
تأخير,-1
تافه,-1
تافهة,-1
تافهه,-1
تبارك,1
تتميز,1
تتوصفش !,1
تتوصفش,1
تجربة,-1
تجربه مريره,-1
تجنب,-1
تجنبه,-1
تجنن,1
تحب,1
تحفة,1
تحففة,1
تحففةةة,1
تحففه,1
تحفه,1
تحياتي,1
تختلف عن الصوره,-1
تختلف عن الوصف,-1
تخدش,-1
تخرب,-1
تدهور,-1
تدوم,1
تراجع,-1
ترتقي,1
تركه,1
تستاهل,1
تستحق,1
تسرب,-1
تسمم,-1
تسممت,-1
تسممنا,-1
تسممنا منه,-1
تسممو,-1
تسمموا,-1
تشاؤم ما,-1
تشكيلاتهم الجديده,1
تشويقا,1
تصالح,1
تصلح,1
تضحك,1
تضيع,-1
تضييع,-1
تطابق,1
تعبان,-1
تعبانة,-1
تعجبني,1
تعجبني النهاية,1
تعطله,-1
تعمل بشكل جيد,1
تعيس,-1
تغير,-1
تفاهة,-1
تفتح النفس,1
تفتقر,-1
تفرغ بسرعه,-1
تفوقت,1
تقتنع,1
تقل,1
تقليد,-1
تقليدي,-1
تقيلة,-1
تكرار,-1
تكرم,-1
تكرم النعمه,-1
تكفي,1
تكن قطع,-1
تلفت,-1
تمام,1
تناسب وزني,1
تنويع,1
تهت,-1
توب,1
توجد خدمه,1
توحفه,1
تؤدي الغرض,1
توصف بكلمات,1
توقعتها,-1
توقف عن العمل,-1
ثقالة,-1
ثقالة دم,-1
ثلاثه,-1
جاامد,1
جاحدة,1
جافه,-1
جامد,1
جامدة,1
جامده,1
جاني,-1
جبار,1
جبارة,1
جدا سيئة,-1
جدا عادي,-1
جدا من,1
جدا وجميل,1
جد نافع,1
جديدة,1
جدير,1
جديرة,1
جذبتني كثيرا,1
جرب,1
جربوا,1
جربوه,1
جربوها,1
جلساته,-1
جمال,1
جمل,1
جممميل,1
جميل,1
جميلا,1
جميل الكتاب,1
جميلة,1
جميلة جدا,1
جميلة هذه,1
جميلة ولكن,1
جميل جدا,1
جميل لكن,-1
جميله,1
جميل و,1
جمييل,1
جمييلة,1
جميييلة,1
جناان,1
جنان,1
جنس,-1
جنسية,-1
جودة,1
جودة جيدة,1
جو كئيب,-1
جيد,1
جيدا,1
جيد الكتاب,1
جيدة,1
جيدة جدا,1
جيد جدا,1
جيدجداا,1
جيد في,1
جيد نوعا,1
جيده,1
جيده جدا,1
جيده نوعا,1
جيد والسعر,1
جييد,1
جييد لانه,1
حاجات كتير,1
حاجة حلوة,1
حاجة غلط,-1
حببت,1
حببت الرواية,1
حببته,1
حببتها,1
حبيبى !,1
حبيت,1
حبيته,1
حبيتها,1
حبييت,1
حرام,-1
حسبي الله,-1
حسبي الله ونعم الوكيل,-1
حسن,1
حشرات,-1
حشره,-1
حشو,-1
حصل عيب,-1
", حضنته",1
حقير,-1
حكاية,1
حلو,1
حلوة,1
حلوه,1
حلوو,1
حلى,1
حمصهم خرااافي,1
حميل,1
حياتى كسمين,-1
حين,1
خاب,-1
خامات تعبانه,-1
خايس,-1
خايسة,-1
خايسه,-1
خخخخ,-1
خداع,-1
خرا,-1
خرااافي,1
خراافي,1
خرافي,1
خرب,-1
خرة زى,-1
خرى !,-1
خريص,-1
خسارة,-1
خساره,-1
خساره الوقت,-1
خصوصيه,1
خطير,1
خطيره,1
خطيير,1
خفيف,1
خفيفة,1
خفيفة وابهرتنى,1
خفيف جدا,-1
خفيف لطيف,1
خفيفه,1
خفيف و,1
خفيف ولطيف,1
خفيف ومش,1
خلصت ?,-1
خلصتها للأخر,1
خلطبيطة,-1
خم,-1
خمس,1
خورافيه,1
خيال,1
خيال ودك,1
خيالي !,1
خيالي,1
خيب,-1
خيبة,-1
خيبة أمل,-1
خيبت,-1
دائما,1
دايم,1
دةرااائع,1
دراية قوية,1
دسم,-1
دسمه,-1
دسمه جدا,-1
دم,-1
دمااغ,1
دمها خفيف,1
دمه خفيف,1
ده خضني,-1
دوشة فكرية,-1
دون المستوي,-1
ذهلة,1
ذوق,1
رااائع,1
رااائعة وعملية,1
رااائعه,1
راائع,1
راائعة,1
راائعه,1
راايق,1
راغى,-1
راقت لي,1
راقي,1
راقية,1
راقيه,1
رائحة,-1
رائحة سلبية,-1
رائع,1
. رائع,1
رائعا,1
رائعة,1
رائعه,1
رائعين,1
رائغة,1
رائئئع,1
راي سلبي,-1
رايع,1
رايق,1
رايقة,1
رايقه,1
رحمة الله,1
رخص,1
رخمااه,-1
رخيص,1
رخيصة,-1
رخيصه جدا,1
رديء,-1
ردئ,-1
رديه,-1
رديئة,-1
رديئه,-1
ررااائع,1
ررائع,1
ررووعه,1
رغم روعتهاا,1
رغي,-1
رفيق النوم,1
رقيق,1
رقيقة,1
ركيك,-1
ركيكة,-1
رميت,-1
رميته,-1
رميتها,-1
رهيب,1
رهيب,-1
رهيببه,1
رهيبة,1
رهيبه,1
رهييب,1
رهييبه,1
رواية,1
. رواية,1
رواية تستحق,1
رواية جميلة,1
رواية جيدة,1
رواية خايبة,-1
روايةرائعة,1
رواية رائعة,1
رواية كئيبة,-1
رواية محبطة,-1
رواية مشوقة,1
رواية ممتعة,1
رواية مملة,-1
روع,1
روعة,1
روعتها,1
روعتهاا,1
روعه,1
رومانسي,1
رووعة,1
رووعه,1
روووعه,1
زبالة,-1
زباله,-1
زجاجها مخدش,-1
زحمة,-1
زحمه والاكل,-1
زفت,-1
زفر,-1
زهقت,-1
زيادة عن اللزوم,-1
زين,1
زين مره,1
زيوت,-1
سابق لعصره,1
ساحر,1
ساحرة,1
ساخرة ومميزة,1
ساذج,-1
ساذجة,-1
ساعة,1
سالب,-1
ستمتعت,1
سخف,-1
سخيف,-1
سخيفة,-1
سخييف,-1
سد نفسي,-1
سرعة,1
سرقة,-1
سرقه,-1
سريع,1
سريعة,1
سريعه,1
سطحي,-1
سطحية,-1
سطحيه,-1
سعدت,1
سعر مجنون,-1
سعر مرتفع,-1
سعرها مغالي,-1
سعيد,1
سعيدة,1
سف,-1
سفسطة,-1
سلبي,-1
سلبية,-1
سلبي جدا,-1
سلة المهملات,-1
سلعةةجيدة,1
سلوبه قوى,1
سمعت,-1
سنعود,1
سهل,1
سهل الاستخدام,1
سهلة,1
سهولة,1
سوء,-1
سوداء اللهم,-1
سوداوية,-1
سورى,-1
سيء,-1
سئ,-1
سىء,-1
سيءء,-1
سيءء جداا,-1
سيء جدا,-1
سئ جدا,-1
سىء للغاايه,-1
سئيه,-1
سي جدااا,-1
سيرة حلوة,1
سيي,-1
سيى,-1
سييء,-1
سيئ,-1
سيئا,-1
سيئة,-1
سيئة جدا,-1
سيئ جدا,-1
سيئه,-1
سييئ,-1
سييئة,-1
سييئة للغاية,-1
سييييء,-1
شاعر الصعاليك,-1
شحم,-1
شعره,-1
شغااال,1
شغال,1
شكر,1
شكرا,1
شكرااا,1
شكلها باظت,-1
شهي,1
شهيتني,1
شيء جمل,1
شيق,1
شيقة,1
شيك,1
شين,-1
شينه,-1
صادق,1
صادقة,1
صادقه,1
صجه اكبر,-1
صحي,1
صحيه,1
صدقت,1
صدمت,-1
صدمتي,-1
صدوق,1
صرصور,-1
صريح,1
صعبه,-1
صعقة,-1
صعقت,-1
صغيرة جدا,-1
صغير جدا,-1
صغيره جدا,-1
صفر,-1
صفر كبير,-1
صناعه صينيه,-1
صيت اكثر,-1
ضايقتني,-1
ضجة,-1
ضجه,-1
ضحك,1
ضحية,-1
ضعف,-1
ضعيف,-1
ضعيفة,-1
ضعيفه,-1
ضيع,-1
ضيعت وقتي,-1
ضيق,-1
ضيقة,-1
ضيقه,-1
طازج,1
طعم,1
طعم,-1
طفشتني,-1
طلاسم .,-1
طلاسم,-1
طوال الليل,-1
طويلة جدا,-1
طيب,1
طيبه,1
ظريف,1
ظريف معقول,1
عااادي,-1
عاادي,-1
عاتي,-1
عاجبني,1
عاجبنى,1
عادي,-1
عادية,-1
عادية جدا,-1
عادي جدا,-1
عاديه,-1
عاديه جدا,-1
عادي ولا,-1
عادي ومو,-1
عالاقل 700ريال,-1
عالفاضي,-1
عالميه,1
عالية,1
عبقري,1
عبقرى,1
عبقرية,1
عبقريه,1
عبيط,-1
عجبتني,1
عجبتني جدا,1
عجبني,1
عجبني الكتاب,1
عجبنى اوى,1
عجبني جدا,1
عجبني كثيرا,1
عجبي,1
عجبى,1
عجييب,1
عشااق,1
عشاق,1
عشره,1
عشق,1
عشقت,1
عشقتها,1
عشقي,1
عطر مغشوش,-1
عظيم,1
عظيمة,1
عظيمم,1
عمارة مر,-1
عملي,1
عمليه,1
عميق,1
عميقة,1
عمييق,1
عنب,1
عودة,1
عودة الغائب,1
عيب,-1
عيبه,1
عيبهم,1
عيبهم,-1
عيوب,-1
غاالي,-1
غالي,-1
غالي جدا,-1
غاليه,-1
غاليه جدا,-1
غاية,1
غبي,-1
غبى,-1
غش,-1
غشني,-1
غلطان انى,-1
غلطة,-1
غلطة عمري,-1
غني,1
غنى,1
غويلي,-1
غير حياتى,1
غير عادية,1
غير مترابطة,-1
غير متوقعة,1
غير متوقعه,1
غير مريحه,-1
غير مفيد,-1
غير مقنع,-1
غير مملة,1
غير منطقية,-1
غير موفقة,-1
غير نظيفة,-1
غير واضحة,-1
فاحش,-1
فاخر,1
فاخره,1
فادني,1
فاسده,-1
فاشل,-1
فاشلة,-1
فاشله,-1
فاضى,-1
فاكس,-1
فتنة سوداء,-1
فج,-1
فخم,1
فرح,1
فروع,1
فريد,1
فريدا,1
فريدة,1
فريده,1
فسد,-1
فشل,-1
فضل,1
فضل كتاب,1
فظيع,-1
فظيعة,-1
فعلا,1
فعلا ندماان,-1
فقيع,-1
فكرته حلوة,1
فنان,1
فوجئت,-1
فوق الخيال,-1
فوق المتوسط,1
في البؤس,-1
في الخيال,1
في السذاجة,-1
فيها فكرة,1
فيه تكرار,-1
فيه زين,1
قاسي,-1
قاسية,1
قاسية,-1
قاسى جداا,-1
قتلت القصة,-1
قدراتى العقليه,-1
قد لاتستحق,-1
قديم,-1
قديمة,-1
قذر,-1
قذرة,-1
قرارية,-1
قررف,-1
قرف,-1
قريب,1
قريب جدا,1
قصة جميلة,1
قصص اعجبتني,1
قصص خفيفة,1
قلبي,1
قلة,-1
", قلشت",-1
قلشت منك,-1
قليل المعلومات,-1
قمة,1
قمة الجودة,1
قوي,1
قيم,1
قيمة,1
قيمة,-1
كاتب,-1
كاذب,-1
كارثة,-1
كامل 10/10,1
كان احسن,-1
كانت محتاجة,-1
كان توب,1
كان جميلا,1
كان يجدر,-1
كبوة,-1
كبيرة,1
كبيرة بمحتواها,1
كبيرة وعفشة,-1
كتااب,1
كتاب باائس,-1
كتاب بضين,-1
كتاب جيد,1
كتاب جييد,1
كتاب حلو,1
كتاب خرة,-1
كتاب رائع,1
كتاب فقيع,-1
كتاب قيم,1
كتاب متطرف,-1
كتاب ممتع,1
كتاب ممل,-1
كتابي,1
كتاب يستحق,1
كتير جدا,-1
كثيرة بالفندق,1
كذاب,-1
كذابه,-1
كذب,-1
كره,-1
كرهت,-1
كرهتها,-1
كريهة,-1
كسمين سابق,-1
كلمات جميلة,1
كما في المواصفات,1
كما في الموقع,1
 كما هو معروض,1
كويس,1
كويسة,1
كويس كويس,1
كويسه,1
كئيب,-1
كئيبة,-1
كئيبة جدا,-1
كئيبة وسلبية,-1
كئيب جدا,-1
كئيبه,-1
لا أحب,-1
لا أحبه,-1
لااستسيغ,-1
لااستسيغ الاكل,-1
لا أكثر,-1
لا أنصح,-1
لاانصح,-1
لا انصح,-1
لا انكر,-1
لا أوصي,-1
لابأس,1
لاباس به,1
لاباس بها,1
لا ترقى,-1
لاتستحق,-1
لا تستحق,-1
لاتستحق عناء,-1
لاتصلح,-1
لا تعصر,-1
لاتعمل,-1
لا تعمل,-1
لا تقم,-1
لا تليق,-1
لاتوجد,-1
لاجديد,-1
لا جديد,-1
لا داعي,-1
لازم,1
لأسف,-1
لا شئ,-1
لاطعم,-1
لا غنى عنه,1
لا غنى عنها,1
لا فهم,-1
لانصح,-1
لا نصح,-1
لايستحق,-1
لا يستحق,-1
لا يصل,-1
لايصلح,-1
لايطابق,-1
 لايطابق,-1
لايطابق المواصفات,-1
لايعجبني,-1
لا يعلى,1
لا يعمل,-1
لا يفوتك,1
لايفوتكم,1
لا يفوتكم,1
لايقاوم,1
لا يليق به,-1
لا يمل,1
لا يوصف,1
لبست عميقة,-1
لجمالية لغتها,1
لدرجة الصعوبة,-1
لذه,1
لذيد,1
لذيذ,1
لذيذا,1
لذيذة,1
لذيذ جدا,1
لذيذه,1
لذييذ,1
لززييزز,1
لزيز,1
لضعف,-1
لطالما,1
لطيف,1
لطيفة,1
لطيف جدا,1
لعشاق,1
لعنة,-1
لغة شعرية,1
لغة قمة,1
لكنها كئيبة,-1
لكنه مقبول,1
للابداع,1
للأسف,-1
للاسف,-1
للاشمئزاز,-1
للامال,-1
للحب,1
للقبح,-1
للمبتدئين,-1
للمراهقين,-1
لم,-1
لم احب,-1
لم ارتاح,-1
لم استطع اكمالها,-1
لم استمتع,-1
لم افهم,-1
لم أكملها,-1
لم ترق,-1
لم تعجبني,-1
لم تعجبنى,-1
لم حبها,-1
لم نفترق,1
لم يتم,-1
لم يجذبني,-1
لم يرق,-1
لم يعجبني,-1
لم يعجبنى,-1
لم يقدم,-1
لن أعود,-1
لن اقوم بشرائه,-1
لن اقوم بشرائها,-1
لن عود,-1
لونه,-1
ليس اكثر,-1
ليست بالروعة,-1
ليست بقدر,-1
ليست بنفس,-1
ليست كما تظهر في الإعلان,-1
ليس سيئ,1
ليس فيه شيء,-1
ما استمتعتش,-1
ماأعجبني,-1
مااعجبني,-1
ماانصح,-1
ما انصح,-1
ما تتوصفش,1
ماتجلس,-1
ماتجلس ساعه,-1
ماتحمست,-1
ماتحمست معها,-1
ماتستاهل,-1
ماتستاهل سعره,-1
ماتشتغل,-1
ماتنظف,-1
ماحب,-1
ماحبيت,-1
ماحبيته,-1
ماحبيتها,-1
ما حبيتها,-1
ماحبيتها وكفى,-1
ماساه,-1
ماشاء الله,1
ما شاء الله,1
ما عجبتني,-1
ماعجبتنيش,-1
مأعجبني,-1
ماعجبني,-1
ما عجبني,-1
ماعجبنيش,-1
ماعنده,-1
مافيه,-1
ماكان ممتع,-1
ما كلمتهاش,-1
ماله طعم,-1
مايستاهل,-1
ما يستاهل,-1
مايستحق,-1
مايستوي,-1
مايشجع,-1
مايعجبني,-1
مايعجبني والنوعيه,-1
مايفوق,-1
مبالغ,-1
مبالغة,-1
مبالغ فيه,-1
مبالغ فيها,-1
مبتدئين,-1
مبتذل,-1
مبتذلة,-1
مبحبش,-1
مبدع,1
مبدعة,1
مبزرة,-1
مبسط,1
مب مستوي,-1
مبهر,1
متخصص,1
متدني,-1
متدنية,-1
متدنيه,-1
متسخ,-1
متسخة,-1
متع,1
متعبة,-1
متعبة جدا,-1
متعة,1
متقن,1
متكامل,1
متكررة,-1
متميز,1
متميزة,1
متميزه,1
متناغمه,1
متنوع,1
متنوعه,1
متهالك,-1
متواضع,-1
متواضعة,-1
متوسط,-1
متوسطة,-1
متوسطة الاداء,-1
متوفر,1
متوقعة واعتيادية,-1
مثالي,1
مثل,-1
مثل المواصفات,1
مثير,1
مثيرة,1
مجانا,1
مجاني,1
مجانية,1
مجانيه,1
محاولة فاشلة,-1
محبتش,-1
محبتهاش,-1
محبتهوش,-1
محبتوش,-1
محبط,-1
محبوب,1
محبي,1
محترم,1
محتوى,-1
محروقة,-1
محشو,-1
محفز,1
محكم .,1
محنرم,1
مخادع,-1
مخادعه,-1
مخالفه,-1
مختصره جدا,-1
مختلفة,1
مخدش,-1
مخدش ومكسور,-1
مخدوش,-1
مخيب,-1
مخيس,-1
مدح,1
مدربين,1
مدهشة,1
مذهل,1
مذهلة,1
مذهلة لكن,1
مذهله,1
مر,-1
مرتب,1
مرتفعه,-1
مرجعية جيدة,1
مررره عادي,-1
مرض,-1
مركون,-1
مرنه,1
مره,-1
مروع,-1
مروعة,-1
مريح,1
مريحة,1
مريحه,1
مريرة,-1
مريره,-1
مزعج,-1
مزعجة,-1
مزعجه,-1
مزودها شوية,-1
مستظرف,-1
مستظرف عالاخر,-1
مستفدتش,-1
مستفز,-1
مستفزة,-1
مستمتعتش,-1
مستهلكة,-1
مسخرة,1
مسلي ),1
مش اوي,-1
مش باقتنع,-1
مشبع,1
مش راغى,1
مشكلته الزحمه,-1
مشكلته نيء,-1
مشكوور,1
مش لذيذ,-1
مش لمة,1
مشهور,1
مشوق,1
مضبوط,1
مضروب,-1
مضروبة,-1
مضروبه,-1
مضيعة,-1
مطابقة,1
مطابقة للوصف,1
مطابق للمواصفات,1
مطرود,-1
مطعم حلو,1
مطعم عادي,-1
مطعم مميز,1
مطعمي,1
مطعم يستحق,1
مع احترامي,-1
معاد,-1
معاني,1
معجبتنيش ),-1
معجبتنيش,-1
( معجبتنيش,-1
معجبنيش,-1
معجتنيش,-1
معدومة,-1
معدومه,-1
معطره,1
معطم عاادي,-1
معفن,-1
معقول,1
معقولة,1
معقوله,1
معيبا,-1
مغالطات,-1
مغالي,-1
مغالي فيه,-1
مغرقة,-1
مغرقه بالتشاؤم,-1
مغريه,1
مغشوش,-1
مغص,-1
مفروض,-1
مفيد,1
مفيدة,1
مفيد جدا,1
مفيده,1
مقتنعتش !,-1
مقدرتش,-1
مقرف,-1
مقرفة,-1
مقرفه,-1
مقرفه جدا,-1
مقزز,-1
مقززة,-1
مقلب,-1
مكب,-1
مكرر,-1
مكررة,-1
مكرره,-1
مكملتوش,-1
ملائم,1
ملحمة,1
ملفت,1
ملل,-1
مللت,-1
ملهم,1
ملهمة,1
ملهمه,1
ملئ بالزيوت,-1
ملىء بالشجن,1
مليانة,-1
مليت,-1
مليئ بنظريات,-1
ممتااز,1
ممتاازة,1
ممتاازه,1
ممتاز .,1
ممتاز,1
ممتازة,1
ممتازز,1
ممتازه,1
ممتازين,1
ممتع,1
ممتعا,1
ممتعة,1
ممتع جدا,1
ممتعه,1
ممتع ورشيق,1
ممتع يشكر,1
ممطوطة الاحداث,-1
ممل,-1
. ممل,-1
", ممل",-1
مملة,-1
مملة جدا,-1
ممل جدا,-1
مملل,-1
ممله,-1
مميز,1
مميزات,1
مميزة,1
مميزه,1
مميز و جميل,1
من االازم,-1
من اجمل,1
من أروع,1
مناسب,1
مناسبة,1
مناسبه,1
من اسوا,-1
منافس,1
من افضل,1
من الاخر,1
من الفوائد,1
منتازه,1
منتج جيد,1
منتج سئ,-1
منتجع,1
منتج ممتاز,-1
منتهيه,-1
من رائع,1
من روائع,1
من سوء,-1
منطقية,-1
منظر,1
من غبى,-1
منفرد,1
منقول,-1
من نجمة,-1
منه وبطلناه,-1
منوعه,1
مهذبه,1
مهم,1
